iter	Passed	Remaining
0	70	69935
1	108	54070
2	144	47889
3	178	44528
4	214	42672
5	243	40396
6	272	38605
7	300	37217
8	327	36075
9	355	35161
10	380	34221
11	405	33370
12	430	32689
13	451	31774
14	475	31217
15	499	30743
16	524	30321
17	549	29978
18	573	29619
19	599	29392
20	623	29084
21	647	28769
22	668	28410
23	690	28092
24	712	27793
25	734	27528
26	757	27292
27	779	27067
28	802	26875
29	824	26645
30	846	26448
31	872	26382
32	895	26246
33	918	26085
34	940	25919
35	962	25781
36	985	25655
37	1009	25553
38	1034	25481
39	1058	25396
40	1083	25336
41	1107	25260
42	1133	25217
43	1157	25149
44	1182	25085
45	1206	25029
46	1235	25042
47	1266	25112
48	1297	25181
49	1328	25242
50	1360	25310
51	1392	25394
52	1424	25453
53	1457	25532
54	1488	25582
55	1518	25602
56	1546	25592
57	1574	25579
58	1603	25572
59	1631	25563
60	1660	25558
61	1684	25490
62	1708	25417
63	1735	25388
64	1760	25319
65	1785	25263
66	1810	25215
67	1836	25171
68	1862	25132
69	1887	25071
70	1914	25045
71	1939	25000
72	1967	24981
73	1992	24938
74	2017	24877
75	2042	24837
76	2069	24812
77	2095	24764
78	2120	24724
79	2148	24703
80	2174	24673
81	2200	24631
82	2225	24591
83	2255	24592
84	2286	24612
85	2316	24621
86	2345	24616
87	2375	24623
88	2403	24606
89	2432	24592
90	2460	24577
91	2488	24556
92	2515	24531
93	2525	24344
94	2553	24323
95	2580	24303
96	2606	24260
97	2630	24207
98	2653	24152
99	2678	24109
100	2703	24062
101	2727	24012
102	2751	23960
103	2776	23917
104	2800	23867
105	2824	23818
106	2846	23758
107	2869	23700
108	2892	23643
109	2914	23584
110	2937	23525
111	2960	23475
112	2983	23422
113	3006	23368
114	3029	23314
115	3052	23262
116	3074	23206
117	3096	23143
118	3117	23078
119	3138	23015
120	3159	22955
121	3180	22891
122	3202	22834
123	3226	22794
124	3248	22740
125	3271	22691
126	3294	22643
127	3315	22589
128	3339	22546
129	3362	22502
130	3385	22455
131	3407	22408
132	3429	22355
133	3451	22303
134	3474	22260
135	3496	22214
136	3519	22167
137	3540	22117
138	3562	22068
139	3586	22028
140	3609	21990
141	3631	21944
142	3654	21900
143	3676	21856
144	3699	21814
145	3707	21686
146	3730	21645
147	3752	21599
148	3775	21563
149	3796	21515
150	3820	21483
151	3845	21452
152	3869	21419
153	3892	21381
154	3915	21347
155	3938	21309
156	3962	21274
157	3986	21242
158	4009	21208
159	4032	21170
160	4056	21140
161	4080	21109
162	4105	21079
163	4127	21039
164	4150	21004
165	4174	20971
166	4196	20933
167	4219	20897
168	4242	20863
169	4266	20832
170	4290	20800
171	4313	20764
172	4339	20741
173	4365	20723
174	4393	20713
175	4418	20687
176	4442	20655
177	4467	20631
178	4489	20593
179	4512	20558
180	4535	20522
181	4558	20487
182	4581	20452
183	4603	20414
184	4625	20378
185	4648	20341
186	4670	20307
187	4692	20269
188	4714	20229
189	4736	20194
190	4760	20163
191	4783	20131
192	4805	20094
193	4828	20062
194	4851	20026
195	4875	19998
196	4898	19966
197	4922	19937
198	4947	19913
199	4971	19887
200	4995	19858
201	5020	19833
202	5045	19810
203	5070	19786
204	5096	19763
205	5121	19739
206	5145	19713
207	5171	19690
208	5195	19664
209	5219	19636
210	5244	19609
211	5270	19589
212	5294	19563
213	5319	19537
214	5343	19511
215	5368	19486
216	5391	19455
217	5416	19429
218	5440	19402
219	5465	19377
220	5490	19351
221	5515	19330
222	5540	19304
223	5567	19288
224	5596	19275
225	5622	19257
226	5651	19243
227	5677	19224
228	5704	19206
229	5732	19189
230	5758	19169
231	5786	19155
232	5814	19140
233	5842	19125
234	5869	19105
235	5894	19083
236	5919	19056
237	5944	19032
238	5969	19006
239	5993	18980
240	6018	18954
241	6043	18930
242	6068	18903
243	6090	18869
244	6113	18838
245	6134	18802
246	6157	18770
247	6180	18739
248	6202	18707
249	6224	18674
250	6247	18642
251	6269	18609
252	6293	18582
253	6315	18548
254	6338	18517
255	6361	18488
256	6383	18456
257	6407	18429
258	6432	18402
259	6456	18374
260	6479	18344
261	6501	18314
262	6524	18283
263	6548	18255
264	6570	18223
265	6593	18192
266	6615	18161
267	6639	18135
268	6663	18107
269	6685	18076
270	6710	18052
271	6732	18019
272	6754	17987
273	6775	17953
274	6802	17932
275	6824	17900
276	6844	17865
277	6866	17833
278	6889	17805
279	6912	17775
280	6934	17743
281	6957	17713
282	6981	17687
283	7002	17655
284	7026	17628
285	7051	17604
286	7074	17576
287	7098	17547
288	7121	17521
289	7152	17510
290	7184	17505
291	7222	17512
292	7259	17516
293	7303	17539
294	7344	17552
295	7380	17554
296	7416	17555
297	7448	17547
298	7479	17535
299	7510	17524
300	7537	17503
301	7562	17479
302	7590	17460
303	7617	17439
304	7643	17418
305	7671	17398
306	7697	17374
307	7725	17357
308	7753	17338
309	7779	17316
310	7808	17298
311	7835	17277
312	7864	17261
313	7891	17240
314	7918	17219
315	7943	17195
316	7970	17172
317	7996	17148
318	8022	17126
319	8045	17097
320	8069	17068
321	8092	17039
322	8115	17010
323	8139	16982
324	8162	16952
325	8185	16924
326	8209	16895
327	8232	16865
328	8256	16839
329	8280	16812
330	8304	16784
331	8328	16756
332	8351	16727
333	8374	16697
334	8397	16670
335	8422	16643
336	8445	16614
337	8468	16586
338	8494	16562
339	8521	16541
340	8547	16518
341	8571	16491
342	8595	16463
343	8618	16434
344	8641	16406
345	8665	16378
346	8689	16351
347	8711	16322
348	8734	16292
349	8756	16262
350	8779	16234
351	8802	16204
352	8824	16174
353	8848	16147
354	8871	16118
355	8893	16088
356	8917	16061
357	8940	16033
358	8965	16007
359	8987	15977
360	9010	15950
361	9034	15922
362	9056	15892
363	9079	15864
364	9102	15835
365	9125	15807
366	9149	15780
367	9171	15751
368	9193	15721
369	9217	15695
370	9240	15667
371	9262	15637
372	9286	15609
373	9309	15583
374	9334	15557
375	9359	15532
376	9383	15505
377	9407	15479
378	9432	15455
379	9456	15429
380	9481	15403
381	9504	15376
382	9531	15354
383	9554	15326
384	9578	15300
385	9602	15275
386	9630	15253
387	9658	15234
388	9689	15219
389	9720	15204
390	9753	15191
391	9784	15176
392	9815	15160
393	9846	15145
394	9877	15129
395	9906	15109
396	9934	15089
397	9961	15067
398	9988	15045
399	10016	15025
400	10044	15003
401	10068	14977
402	10093	14952
403	10118	14926
404	10143	14902
405	10167	14875
406	10193	14851
407	10218	14826
408	10243	14802
409	10268	14776
410	10292	14750
411	10317	14724
412	10342	14699
413	10366	14673
414	10391	14648
415	10416	14623
416	10442	14599
417	10468	14575
418	10495	14553
419	10523	14532
420	10552	14512
421	10582	14494
422	10613	14476
423	10644	14459
424	10674	14441
425	10684	14395
426	10712	14375
427	10745	14360
428	10773	14339
429	10799	14315
430	10827	14294
431	10855	14273
432	10883	14251
433	10910	14228
434	10935	14203
435	10960	14178
436	10984	14151
437	11009	14126
438	11033	14099
439	11057	14073
440	11082	14047
441	11107	14022
442	11130	13995
443	11153	13966
444	11175	13938
445	11197	13908
446	11219	13879
447	11242	13852
448	11264	13823
449	11287	13795
450	11309	13766
451	11332	13739
452	11354	13710
453	11376	13681
454	11398	13653
455	11421	13625
456	11444	13598
457	11469	13573
458	11494	13547
459	11518	13521
460	11544	13497
461	11568	13471
462	11592	13445
463	11617	13420
